,,,L1,L2,L3,L4,L5,L6(?),L7,L8,L9,L10,L10A,L10B,L11
??????,???,?,??????????(?????),????????????(?????),?????(???),??????(???),?????????,???????,??????(42?),???????(M2)(?????),??????,??????(???),????????(???),????(10?)????????,??????????DI
Time (Monthly) Code,Calendar year,Month,Index of Producer's Inventory Ratio of Finished Goods (Final Demand Goods) (Inverted),Index of Producer's Inventory Ratio of Finished Goods (Producer Goods for Mining and Manufacturing) (Inverted),New Job Offers (Excluding New School Graduates),Machinery Orders at Constant Prices (Manufacturing),Total Floor Area of New Housing Construction Started,Consumer Confidence Index,Nikkei Commodity Price Index (42 Items),Money Stock (M2) (Change from Previous Year),Stock Prices (TOPIX),Index of Investment Climate (Manufacturing),Ratio of Operating Profits to Total Assets (Manufacturing),Newly Issued Government Bonds Yield (10 Years),Sales Forecast DI of Small Businesses
,,,(??2?=100),(??2?=100),(?),(???),(???????),,(1970?=100),(%),,,(%),(%),
,,,2020=100,2020=100,persons,million yen,thousand square meters,,1970=100,percent change,,,ratio,percent per year,
1975000101,1975,1,97.3 ,91.5 ,349651 ,200216 ,7284 ,34.8 ,144.019 ,11.9 ,276.09 ,-5.61 ,5.44 ,11.05 ,-13.6 
1975000202,1975,2,94.2 ,89.7 ,368410 ,169117 ,8437 ,37.1 ,145.044 ,11.9 ,299.81 ,-4.56 ,4.71 ,9.27 ,-20.7 
1975000303,1975,3,90.4 ,87.5 ,388872 ,174944 ,9135 ,39.3 ,146.654 ,12.3 ,313.50 ,-5.75 ,3.99 ,9.74 ,-14.9 
1975000404,1975,4,81.3 ,85.1 ,344599 ,133260 ,9063 ,39.4 ,148.386 ,12.8 ,320.57 ,-5.48 ,4.12 ,9.60 ,2.7 
1975000505,1975,5,84.2 ,83.3 ,321790 ,168174 ,9211 ,39.4 ,146.378 ,12.6 ,329.65 ,-4.98 ,4.23 ,9.21 ,14.4 
1975000606,1975,6,84.2 ,81.4 ,319191 ,141010 ,9208 ,39.5 ,146.650 ,12.4 ,327.74 ,-4.77 ,4.34 ,9.11 ,17.0 
1975000707,1975,7,83.8 ,78.6 ,319859 ,137706 ,9488 ,39.1 ,147.940 ,13.1 ,323.47 ,-5.00 ,4.50 ,9.50 ,14.7 
1975000808,1975,8,85.5 ,78.9 ,322438 ,149951 ,9559 ,38.6 ,147.262 ,13.5 ,309.81 ,-4.84 ,4.67 ,9.51 ,7.5 
1975000909,1975,9,83.2 ,77.9 ,327684 ,167402 ,9333 ,38.2 ,146.229 ,13.8 ,299.07 ,-4.77 ,4.83 ,9.60 ,10.8 
1975001010,1975,10,82.3 ,77.4 ,315388 ,147077 ,9718 ,38.8 ,146.012 ,14.3 ,308.57 ,-4.64 ,4.99 ,9.63 ,12.4 
1975001111,1975,11,81.7 ,78.3 ,320757 ,124255 ,9313 ,39.3 ,145.288 ,13.9 ,315.79 ,-4.46 ,5.15 ,9.61 ,13.9 
1975001212,1975,12,77.9 ,74.9 ,329985 ,147464 ,12283 ,39.9 ,147.669 ,14.5 ,315.91 ,-4.05 ,5.31 ,9.36 ,12.3 
1976000101,1976,1,79.0 ,74.2 ,340397 ,138684 ,11424 ,39.7 ,150.926 ,15.0 ,337.33 ,-3.34 ,5.46 ,8.80 ,20.8 
1976000202,1976,2,77.8 ,72.4 ,343886 ,158087 ,10682 ,39.6 ,154.923 ,15.3 ,336.89 ,-3.11 ,5.58 ,8.69 ,27.1 
1976000303,1976,3,75.8 ,71.1 ,346122 ,148636 ,9598 ,39.4 ,158.244 ,15.7 ,341.60 ,-3.11 ,5.71 ,8.82 ,25.8 
1976000404,1976,4,77.1 ,70.1 ,353492 ,157442 ,9807 ,39.5 ,161.449 ,15.2 ,334.41 ,-3.14 ,5.82 ,8.96 ,26.3 
1976000505,1976,5,77.1 ,70.7 ,359884 ,167859 ,10480 ,39.7 ,163.350 ,15.5 ,341.17 ,-3.15 ,5.96 ,9.11 ,26.8 
1976000606,1976,6,76.8 ,68.5 ,361157 ,150562 ,10890 ,39.8 ,165.637 ,16.2 ,352.54 ,-3.08 ,6.11 ,9.19 ,25.8 
1976000707,1976,7,75.8 ,68.5 ,352245 ,162320 ,10966 ,39.6 ,168.366 ,15.5 ,351.37 ,-2.84 ,6.25 ,9.09 ,40.1 
1976000808,1976,8,76.6 ,67.8 ,345020 ,152942 ,10293 ,39.5 ,168.056 ,15.2 ,355.16 ,-2.59 ,6.36 ,8.95 ,29.6 
1976000909,1976,9,77.5 ,68.6 ,334964 ,148588 ,9822 ,39.3 ,165.743 ,15.0 ,354.88 ,-2.55 ,6.46 ,9.01 ,26.6 
1976001010,1976,10,79.4 ,68.4 ,336936 ,159674 ,10049 ,39.0 ,162.959 ,14.9 ,351.59 ,-2.78 ,6.31 ,9.09 ,21.1 
1976001111,1976,11,77.0 ,68.8 ,342050 ,168790 ,10118 ,38.7 ,161.846 ,14.3 ,346.93 ,-2.99 ,6.18 ,9.17 ,15.8 
1976001212,1976,12,79.6 ,71.0 ,337657 ,148099 ,11679 ,38.4 ,161.052 ,13.8 ,364.87 ,-2.84 ,6.04 ,8.88 ,13.6 
1977000101,1977,1,76.2 ,70.3 ,327540 ,161762 ,12517 ,38.4 ,163.326 ,13.1 ,379.53 ,-2.54 ,6.05 ,8.59 ,13.3 
1977000202,1977,2,76.2 ,72.0 ,317156 ,151620 ,10514 ,38.5 ,161.984 ,12.4 ,380.55 ,-2.45 ,6.05 ,8.50 ,14.0 
1977000303,1977,3,74.8 ,72.7 ,321162 ,157252 ,9385 ,38.5 ,160.808 ,12.2 ,376.92 ,-2.26 ,6.06 ,8.32 ,9.4 
1977000404,1977,4,78.3 ,74.5 ,314954 ,143788 ,10709 ,38.6 ,163.124 ,11.5 ,374.55 ,-1.89 ,5.94 ,7.83 ,12.1 
1977000505,1977,5,78.6 ,75.6 ,302827 ,141283 ,10574 ,38.7 ,161.858 ,11.2 ,378.90 ,-1.77 ,5.84 ,7.61 ,12.4 
1977000606,1977,6,79.1 ,76.5 ,294569 ,147539 ,9334 ,38.8 ,158.940 ,11.0 ,376.04 ,-1.74 ,5.73 ,7.47 ,8.9 
1977000707,1977,7,79.1 ,77.3 ,297085 ,137570 ,9566 ,39.2 ,156.793 ,11.2 ,375.06 ,-1.17 ,5.64 ,6.81 ,6.5 
1977000808,1977,8,77.9 ,75.5 ,301167 ,141288 ,11416 ,39.5 ,155.910 ,10.9 ,380.99 ,-1.37 ,5.55 ,6.92 ,8.2 
1977000909,1977,9,75.6 ,76.1 ,304290 ,152923 ,10643 ,39.9 ,156.085 ,11.3 ,387.65 ,-1.50 ,5.46 ,6.96 ,11.3 
1977001010,1977,10,75.4 ,76.6 ,309291 ,135502 ,10362 ,40.0 ,154.977 ,10.6 ,380.98 ,-1.42 ,5.52 ,6.94 ,18.0 
1977001111,1977,11,75.7 ,75.4 ,306341 ,143321 ,11682 ,40.1 ,151.840 ,10.8 ,367.20 ,-1.19 ,5.58 ,6.77 ,14.1 
1977001212,1977,12,75.1 ,74.4 ,298065 ,141992 ,11254 ,40.2 ,151.776 ,10.7 ,362.68 ,-0.94 ,5.64 ,6.58 ,10.2 
1978000101,1978,1,74.4 ,73.4 ,301406 ,146428 ,12302 ,40.4 ,151.429 ,10.6 ,374.29 ,-0.94 ,5.57 ,6.51 ,13.5 
1978000202,1978,2,74.2 ,73.9 ,317612 ,152681 ,12595 ,40.7 ,152.799 ,10.7 ,384.47 ,-1.08 ,5.51 ,6.59 ,9.7 
1978000303,1978,3,70.8 ,72.6 ,333841 ,164020 ,11852 ,40.9 ,152.312 ,11.1 ,397.03 ,-1.19 ,5.45 ,6.64 ,16.9 
1978000404,1978,4,72.7 ,71.5 ,327708 ,133469 ,10277 ,41.2 ,151.558 ,11.9 ,410.48 ,-1.09 ,5.51 ,6.60 ,14.2 
1978000505,1978,5,70.4 ,70.0 ,311284 ,145062 ,10683 ,41.5 ,152.633 ,11.5 ,409.68 ,-1.00 ,5.58 ,6.58 ,11.6 
1978000606,1978,6,69.6 ,68.3 ,330896 ,155623 ,13277 ,41.8 ,150.044 ,12.0 ,412.07 ,-0.98 ,5.64 ,6.62 ,18.4 
1978000707,1978,7,69.6 ,67.5 ,337636 ,145722 ,11298 ,42.3 ,148.663 ,12.0 ,422.56 ,-0.86 ,5.76 ,6.62 ,20.5 
1978000808,1978,8,68.5 ,66.7 ,330947 ,176255 ,9077 ,42.8 ,148.591 ,12.3 ,419.87 ,-0.79 ,5.87 ,6.66 ,18.8 
1978000909,1978,9,67.3 ,64.7 ,336331 ,183565 ,9515 ,43.3 ,147.346 ,12.0 ,427.97 ,-0.73 ,5.98 ,6.71 ,17.7 
1978001010,1978,10,68.6 ,64.6 ,341645 ,144383 ,11125 ,43.5 ,148.782 ,12.1 ,436.10 ,-0.45 ,6.23 ,6.68 ,18.7 
1978001111,1978,11,68.7 ,64.4 ,345209 ,184174 ,13501 ,43.8 ,149.528 ,12.3 ,440.34 ,-0.18 ,6.47 ,6.65 ,23.4 
1978001212,1978,12,68.6 ,63.7 ,346012 ,182944 ,11678 ,44.0 ,151.903 ,12.2 ,446.92 ,0.05 ,6.70 ,6.65 ,20.3 
1979000101,1979,1,69.6 ,63.3 ,357076 ,168379 ,9555 ,44.0 ,156.448 ,12.3 ,459.51 ,0.35 ,6.96 ,6.61 ,17.3 
1979000202,1979,2,70.4 ,63.0 ,369806 ,171237 ,10083 ,43.9 ,159.869 ,12.3 ,452.70 ,0.45 ,7.23 ,6.78 ,14.2 
1979000303,1979,3,69.4 ,61.3 ,375375 ,166379 ,11217 ,43.9 ,163.659 ,12.2 ,447.78 ,0.54 ,7.49 ,6.95 ,17.7 
1979000404,1979,4,68.9 ,61.3 ,370445 ,219699 ,11775 ,42.2 ,167.807 ,12.2 ,444.66 ,0.33 ,7.80 ,7.47 ,21.2 
1979000505,1979,5,65.8 ,59.7 ,378801 ,173567 ,11340 ,40.4 ,172.686 ,12.8 ,453.71 ,0.60 ,8.09 ,7.49 ,22.9 
1979000606,1979,6,65.0 ,59.9 ,383695 ,195142 ,12199 ,38.7 ,176.705 ,11.8 ,444.27 ,0.37 ,8.38 ,8.01 ,22.6 
1979000707,1979,7,65.3 ,58.5 ,381887 ,208668 ,12817 ,38.8 ,178.894 ,11.9 ,442.39 ,0.72 ,8.44 ,7.72 ,17.8 
1979000808,1979,8,64.2 ,58.5 ,388372 ,181496 ,11823 ,38.9 ,180.146 ,11.9 ,450.30 ,0.80 ,8.47 ,7.67 ,18.2 
1979000909,1979,9,66.5 ,60.4 ,405175 ,182257 ,11800 ,39.0 ,183.591 ,11.4 ,455.33 ,0.71 ,8.49 ,7.78 ,16.6 
