?,?,?????????????????,,,,
Year,Month,News-based Economic Policy Uncertainty Index,,,,
1987,1,69.62286199,,,,"????????????????II???????????????????????????? [We use the monthly count of articles from Nikkei Telecom, MAISAKU, Kikuzo II, and Yomidas Rekishikan to construct the index.]"
1987,2,91.26693093,,,,????????????????????????????????????????????????????[These data can be used freely with attribution to the paper and authors.]
1987,3,94.56074324,,,,"????""Policy Uncertainty in Japan"" by Elif C. Arbatli Saxegaard, Steven J. Davis, Arata Ito, and Naoko Miake. [Source: ""Policy Uncertainty in Japan"" by Elif C. Arbatli Saxegaard, Steven J. Davis, Arata Ito, and Naoko Miake.]"
1987,4,96.72415885,,,,
1987,5,77.19266029,,,,
1987,6,90.89618693,,,,
1987,7,62.16769813,,,,
1987,8,48.28188412,,,,
1987,9,55.74669256,,,,
1987,10,96.11838779,,,,
1987,11,105.7117551,,,,
1987,12,95.60578038,,,,
1988,1,64.55427714,,,,
1988,2,54.70843996,,,,
1988,3,55.84297905,,,,
1988,4,53.29290957,,,,
1988,5,50.09945134,,,,
1988,6,63.74308893,,,,
1988,7,65.94500052,,,,
1988,8,71.10043287,,,,
1988,9,46.17353633,,,,
1988,10,58.80193683,,,,
1988,11,74.40002398,,,,
1988,12,59.54318519,,,,
1989,1,74.35562463,,,,
1989,2,68.47098918,,,,
1989,3,80.19586148,,,,
1989,4,100.4348172,,,,
1989,5,84.47323193,,,,
1989,6,83.32384761,,,,
1989,7,88.764335,,,,
1989,8,85.94535546,,,,
1989,9,78.85290139,,,,
1989,10,67.33534213,,,,
1989,11,66.30996368,,,,
1989,12,73.15419955,,,,
1990,1,85.35770447,,,,
1990,2,101.5414243,,,,
1990,3,104.1858402,,,,
1990,4,98.63483643,,,,
1990,5,98.20380763,,,,
1990,6,78.17870519,,,,
1990,7,86.48911518,,,,
1990,8,75.25059707,,,,
1990,9,106.9682879,,,,
1990,10,111.5178872,,,,
1990,11,82.54826255,,,,
1990,12,96.38402717,,,,
1991,1,85.33654683,,,,
1991,2,87.74208126,,,,
1991,3,82.97928307,,,,
1991,4,94.06591069,,,,
1991,5,81.00654071,,,,
1991,6,65.54633204,,,,
1991,7,76.98521461,,,,
1991,8,98.80862136,,,,
1991,9,82.83906886,,,,
1991,10,82.77214293,,,,
1991,11,85.77439951,,,,
1991,12,94.168869,,,,
1992,1,87.43581953,,,,
