,,"????????????12????????? [Percentage of EPU articles that discuss specific policy matters, 12-month centered moving average]",,,,,
?,?,????,????,????,????,,
Year,Month,Fiscal Policy,Monetary Policy,Trade Policy,Exchange Rate Policy,,
1987,1,70.18073367,18.114523,13.6718917,4.901472782,,????????????????????????????????? [We use the monthly count of articles from Nikkei Telecom to compute the percentages.]
1987,2,69.60402683,18.23864482,13.58529543,4.442009175,,????????????????????????????????????????????????????[These data can be used freely with attribution to the paper and authors.]
1987,3,69.56519597,19.95790481,13.37702262,4.192678015,,"????""Policy Uncertainty in Japan"" by Elif C. Arbatli Saxegaard, Steven J. Davis, Arata Ito, and Naoko Miake. [Source: ""Policy Uncertainty in Japan"" by Elif C. Arbatli Saxegaard, Steven J. Davis, Arata Ito, and Naoko Miake.]"
1987,4,69.2991544,21.96952218,12.73830155,4.34815319,,
1987,5,69.57518432,23.40579138,12.46232504,4.826248198,,
1987,6,70.08103096,24.02475766,12.44590817,5.387087006,,
1987,7,70.02110199,24.43494168,13.47212693,5.819900534,,
1987,8,70.05257169,24.69821227,14.93903984,5.655769101,,
1987,9,69.43708637,24.62199808,15.596776,5.298812398,,
1987,10,68.67289006,23.80657273,16.48547167,4.990367429,,
1987,11,68.11093689,23.58633276,16.63221764,4.738392621,,
1987,12,67.8555616,23.70794475,16.12668752,4.656333317,,
1988,1,67.97693257,23.7505789,16.13613611,4.995042084,,
1988,2,67.2199922,23.32502589,16.07000299,5.236302002,,
1988,3,67.40067635,21.82320665,15.99040584,5.186828958,,
1988,4,67.54070132,19.77936156,15.94914843,4.927421053,,
1988,5,66.89522685,17.7423016,15.96822906,4.551526254,,
1988,6,67.00867166,16.02889783,15.87501812,3.873047981,,
1988,7,66.95389077,15.11559317,14.66643992,2.985131287,,
1988,8,66.65897278,14.93706107,13.97388991,2.689377165,,
1988,9,66.93238373,14.89183073,13.59404251,2.668686386,,
1988,10,67.35939881,15.34062821,12.04307846,2.554727957,,
1988,11,67.77742367,15.51050426,11.45316233,2.697177475,,
1988,12,67.2102232,15.85396607,11.81883287,3.072399018,,
1989,1,66.48816831,16.54531521,12.08762303,2.938362268,,
1989,2,66.52495441,16.50524139,12.18843931,2.617243924,,
1989,3,65.54971598,16.1146612,12.32532897,2.688399453,,
1989,4,64.77981586,16.65395528,12.69895119,2.897964827,,
1989,5,63.86542784,17.42525406,12.76032048,2.770465798,,
1989,6,61.92657349,17.99031111,12.72338869,2.583435302,,
1989,7,60.31350735,18.4320968,13.16192382,2.787452293,,
1989,8,59.03064931,18.92751449,13.01132457,3.106391666,,
1989,9,57.70519809,20.05319957,12.97151419,3.430175676,,
1989,10,56.13247455,20.46366734,13.34981347,3.694775357,,
1989,11,54.8441827,20.07704903,13.17032757,3.599578158,,
1989,12,54.3628422,19.41714932,12.69766634,3.202614993,,
1990,1,53.95413574,18.93572252,12.56243282,2.966926898,,
1990,2,53.33358745,19.82296311,12.53862616,2.913218633,,
1990,3,52.49965969,21.31100742,11.95522578,2.712820614,,
1990,4,51.98294192,21.68576229,11.34777541,2.299240411,,
1990,5,52.34986882,21.71470645,11.1644362,2.047015248,,
1990,6,52.64173491,22.17551215,11.23128028,1.972587454,,
1990,7,52.9872034,22.93007219,11.02491772,1.738701086,,
1990,8,53.30875589,23.87170495,10.59217461,1.453764646,,
1990,9,53.36767536,24.75405571,10.04706994,1.170903254,,
1990,10,53.35785877,25.20737848,9.723939446,0.849503192,,
1990,11,53.26751323,25.14683366,9.978466466,0.661611939,,
1990,12,53.22409282,25.39183873,10.49459311,0.688084649,,
1991,1,53.13474312,25.68607061,10.91024948,0.820424718,,
1991,2,52.78531889,25.2832505,11.05949414,0.887320742,,
1991,3,52.36587851,24.97937367,11.0966514,0.875998278,,
1991,4,51.70483297,24.84230118,11.40925086,0.846559873,,
1991,5,51.29871536,24.90423916,12.04421973,0.848868767,,
1991,6,51.33913026,25.18078604,12.52101133,0.867012415,,
1991,7,51.02782538,24.88779484,12.84551832,0.871325984,,
1991,8,50.88224066,24.24519409,13.10702529,1.021151413,,
1991,9,51.06871039,23.70505287,13.44970531,1.167583596,,
1991,10,51.62447201,24.38337808,13.50191131,1.208169011,,
1991,11,52.3598991,25.07298901,12.93923893,1.293892392,,
